parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,regime,preset,eta,type_A,type_B,type_C,type_E,type_D_plus,type_D_minus,norm_ratio_min,norm_ratio_med,norm_ratio_max,nnz_p,nnz_q,layers_analysed,merging_fn,population,core,time_s
09111d7d,d8bd0bc0,0_7_8,4_5_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5690000057220459,0.4826667010784149,0.202,0.3526666666666667,0.37166666666666665,0.33366666666666667,"[0.108, null, null, null, 0.001, 0.0, null, 1.0, 0.007, null]",average@0.80,average,0.8,0.0005565492766892117,0.005759905300447848,0.04722626788826456,0.3504205171021997,0.5276465461205067,0.06839021431189198,0.6123048225611808,0.6475103432206482,0.7087577650071163,15179,12204,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.8
09111d7d,d8bd0bc0,0_7_8,4_5_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5690000057220459,0.4826667010784149,0.202,0.3526666666666667,0.37166666666666665,0.33366666666666667,"[0.108, null, null, null, 0.001, 0.0, null, 1.0, 0.007, null]",orthogonal-full@0.80,orthogonal-full,0.8,0.0005565492766892117,0.005759905300447848,0.04722626788826456,0.3504205171021997,0.5276465461205067,0.06839021431189198,0.6123048225611808,0.6485343976512308,0.7094240751398632,15179,12204,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.7
09111d7d,e1762771,0_7_8,1_2_4,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5690000057220459,0.5213333964347839,0.2725,0.41483333333333333,0.4786666666666667,0.351,"[0.721, 0.083, 0.258, null, 0.712, null, null, 0.218, 0.497, null]",average@1.00,average,1.0,0.0,0.0,0.0,0.0,0.8206337575149517,0.1793662424850482,0.708586907158441,0.7428083022779199,0.7942654816632645,1197490,1197490,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.6
09111d7d,e1762771,0_7_8,1_2_4,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5690000057220459,0.5213333964347839,0.2435,0.39249999999999996,0.4563333333333333,0.32866666666666666,"[0.739, 0.049, 0.271, null, 0.666, null, null, 0.168, 0.462, null]",average@0.80,average,0.8,0.0008853094558964716,0.00911309766825354,0.04007907945852497,0.34044230341716325,0.5561930529914219,0.05328715700873988,0.6248907485821362,0.6626680466324106,0.7170354980017487,12980,11788,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,17.3
09111d7d,e1762771,0_7_8,1_2_4,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5690000057220459,0.5213333964347839,0.244,0.3923333333333333,0.4563333333333333,0.3283333333333333,"[0.739, 0.05, 0.272, null, 0.663, null, null, 0.167, 0.463, null]",orthogonal-full@0.80,orthogonal-full,0.8,0.0008853094558964716,0.00911309766825354,0.04007907945852497,0.34044230341716325,0.5561930529914219,0.05328715700873988,0.6248907485821362,0.6629584583522733,0.7170354980017487,12980,11788,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,17.1
1887bcd2,366f9057,2_7_9,3_5_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5853333473205566,0.5723333358764648,0.1976,0.3378333333333333,0.3403333333333333,0.3353333333333333,"[null, null, 0.021, 0.006, null, 0.0, null, 0.0, null, 1.0]",average@1.00,average,1.0,0.0,0.0,0.0,0.0,0.7965288357219524,0.20347116427804765,0.6544421697370816,0.692476340555687,0.8265196759054345,1197490,1197490,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.2
1887bcd2,366f9057,2_7_9,3_5_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5853333473205566,0.5723333358764648,0.1976,0.3338333333333333,0.334,0.33366666666666667,"[null, null, 0.002, 0.001, null, 0.0, null, 0.0, null, 1.0]",average@0.80,average,0.8,4.3527236447071034e-05,0.0018101162453912152,0.05931402258509198,0.3233020726899026,0.5401128070587606,0.07541745418440657,0.5756376062639845,0.6242812234244886,0.7569700572725035,10123,11368,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.6
1887bcd2,366f9057,2_7_9,3_5_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5853333473205566,0.5723333358764648,0.1976,0.3338333333333333,0.334,0.33366666666666667,"[null, null, 0.002, 0.001, null, 0.0, null, 0.0, null, 1.0]",orthogonal-full@0.80,orthogonal-full,0.8,4.3527236447071034e-05,0.0018101162453912152,0.05931402258509198,0.3233020726899026,0.5401128070587606,0.07541745418440657,0.5756376062639845,0.6242812234244886,0.7569700572725035,10123,11368,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.9
1887bcd2,5ffed8da,2_7_9,6_8_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5853333473205566,0.7800000309944153,0.2106,0.3501666666666667,0.3506666666666667,0.3496666666666667,"[null, null, 0.052, null, null, null, 0.049, 0.0, 0.0, 1.0]",average@1.00,average,1.0,0.0,0.0,0.0,0.0,0.807973096658408,0.192026903341592,0.7108745090238646,0.7413791085755205,0.849917561427964,1197490,1197490,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.5
1887bcd2,5ffed8da,2_7_9,6_8_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5853333473205566,0.7800000309944153,0.2088,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[null, null, 0.0, null, null, null, 0.0, 0.0, 0.0, 1.0]",average@0.80,average,0.8,0.0029825525492812054,0.009611947527338457,0.05658105233140156,0.25973050285240346,0.5776057052361929,0.09348823950338236,0.6289593269230359,0.6587861669376611,0.7580539415979595,9347,12498,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.7
