parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,pre_joint,pre_per_task,pre_per_class,post_joint,post_per_task,post_task_a,post_task_b,post_per_class,regime,time_s
88ed44d1,905afff7,3_6_7,3_5_6,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.42500004172325134,0.36399999260902405,0.29475,0.41300000000000003,"[null, null, null, 0.212, null, 0.0, 0.96, 0.134, null, null]",0.26725,0.6911666666666667,0.709,0.6733333333333333,"[null, null, null, 0.48, null, 0.699, 0.841, 0.806, null, null]",copy-a+mut2,73.1
88ed44d1,be2e50e9,3_6_7,3_6_7,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.42500004172325134,0.5016667246818542,0.4246666666666667,0.42533333333333334,"[null, null, null, 0.184, null, null, 0.96, 0.132, null, null]",0.19866666666666666,0.802,0.802,0.802,"[null, null, null, 0.762, null, null, 0.846, 0.798, null, null]",copy-a+mut2,72.6
88ed44d1,cb3a86af,3_6_7,1_6_7,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.42500004172325134,0.5966666340827942,0.3115,0.44166666666666665,"[null, 0.0, null, 0.182, null, null, 0.973, 0.261, null, null]",0.21675,0.9028333333333334,0.8693333333333333,0.9363333333333334,"[null, 0.96, null, 0.759, null, null, 0.947, 0.902, null, null]",copy-a+mut2,73.3
88ed44d1,d8bd0bc0,3_6_7,4_5_7,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.42500004172325134,0.4826667010784149,0.306,0.5236666666666666,"[null, null, null, 0.182, 0.0, 0.0, 0.96, 1.0, null, null]",0.3198,0.7453333333333334,0.7576666666666667,0.733,"[null, null, null, 0.77, 0.683, 0.845, 0.832, 0.671, null, null]",copy-a+mut2,73.8
88ed44d1,e1762771,3_6_7,1_2_4,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.42500004172325134,0.5213333964347839,0.20833333333333334,0.38416666666666666,"[null, 0.04, 0.534, 0.183, 0.453, null, 0.96, 0.135, null, null]",0.3461666666666667,0.8125,0.8043333333333333,0.8206666666666667,"[null, 0.964, 0.73, 0.733, 0.768, null, 0.86, 0.82, null, null]",copy-a+mut2,74.3
905afff7,be2e50e9,3_5_6,3_6_7,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.36399999260902405,0.5016667246818542,0.27525,0.372,"[null, null, null, 0.121, null, 0.026, 0.982, 0.0, null, null]",0.3095,0.7416666666666667,0.714,0.7693333333333333,"[null, null, null, 0.742, null, 0.578, 0.822, 0.744, null, null]",copy-a+mut2,73.3
905afff7,cb3a86af,3_5_6,1_6_7,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.36399999260902405,0.5966666340827942,0.2008,0.352,"[null, 0.0, null, 0.087, null, 0.025, 1.0, 0.0, null, null]",0.167,0.8211666666666666,0.713,0.9293333333333333,"[null, 0.946, null, 0.457, null, 0.742, 0.94, 0.902, null, null]",copy-a+mut2,73.7
905afff7,d8bd0bc0,3_5_6,4_5_7,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.36399999260902405,0.4826667010784149,0.279,0.511,"[null, null, null, 0.087, 0.0, 1.0, 0.979, 0.0, null, null]",0.265,0.7003333333333333,0.6766666666666666,0.724,"[null, null, null, 0.392, 0.701, 0.826, 0.812, 0.645, null, null]",copy-a+mut2,73.6
905afff7,e1762771,3_5_6,1_2_4,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.36399999260902405,0.5213333964347839,0.2115,0.295,"[null, 0.485, 0.193, 0.086, 0.0, 0.026, 0.98, null, null, null]",0.31266666666666665,0.7353333333333334,0.6623333333333333,0.8083333333333333,"[null, 0.968, 0.667, 0.499, 0.79, 0.646, 0.842, null, null, null]",copy-a+mut2,74.1
be2e50e9,cb3a86af,3_6_7,1_6_7,"[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5016667246818542,0.5966666340827942,0.3655,0.5105000000000001,"[null, 0.0, null, 0.261, null, null, 0.931, 0.47, null, null]",0.1645,0.8915,0.8573333333333333,0.9256666666666666,"[null, 0.931, null, 0.726, null, null, 0.957, 0.889, null, null]",copy-a+mut2,73.5
be2e50e9,d8bd0bc0,3_6_7,4_5_7,"[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5016667246818542,0.4826667010784149,0.272,0.5275,"[null, null, null, 0.263, 0.0, 0.0, 0.902, 1.0, null, null]",0.2584,0.7478333333333333,0.7533333333333333,0.7423333333333333,"[null, null, null, 0.743, 0.712, 0.843, 0.845, 0.672, null, null]",copy-a+mut2,73.5
