parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,saved_joint,saved_per_task,merging_fn,population,bn_reset,stop_node,time_s
1887bcd2,5ffed8da,2_7_9,6_8_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5853333473205566,0.7800000309944153,0.4832,0.7093333333333334,0.6373333333333333,0.7813333333333333,"[null, null, 0.881, null, null, null, 0.924, 0.345, 0.734, 0.686]",0.2008,0.5263333333333333,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.9
1887bcd2,88ed44d1,2_7_9,3_6_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5853333473205566,0.42500004172325134,0.3666,0.45833333333333337,0.504,0.4126666666666667,"[null, null, 0.881, 0.145, null, null, 0.97, 0.123, null, 0.508]",0.2136,0.5766666666666667,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.6
1887bcd2,905afff7,2_7_9,3_5_6,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5853333473205566,0.36399999260902405,0.30283333333333334,0.4653333333333333,0.5746666666666667,0.356,"[null, null, 0.886, 0.069, null, 0.018, 0.981, 0.33, null, 0.508]",0.25833333333333336,0.42433333333333334,match_tensors_permute,runs_exp2d/seed0/population,True,21,71.0
1887bcd2,be2e50e9,2_7_9,3_6_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5853333473205566,0.5016667246818542,0.386,0.5355,0.576,0.495,"[null, null, 0.873, 0.207, null, null, 0.923, 0.355, null, 0.5]",0.2132,0.5761666666666666,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.1
1887bcd2,cb3a86af,2_7_9,1_6_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5853333473205566,0.5966666340827942,0.3876,0.5698333333333334,0.555,0.5846666666666667,"[null, 0.529, 0.878, null, null, null, 0.971, 0.254, null, 0.533]",0.2106,0.5708333333333333,match_tensors_permute,runs_exp2d/seed0/population,True,21,70.3
1887bcd2,d8bd0bc0,2_7_9,4_5_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5853333473205566,0.4826667010784149,0.3696,0.49383333333333335,0.513,0.4746666666666667,"[null, null, 0.889, null, 0.675, 0.625, null, 0.124, null, 0.526]",0.203,0.5731666666666666,match_tensors_permute,runs_exp2d/seed0/population,True,21,69.9
1887bcd2,e1762771,2_7_9,1_2_4,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5853333473205566,0.5213333964347839,0.3588,0.42666666666666664,0.3313333333333333,0.522,"[null, 0.535, 0.118, null, 0.913, null, null, 0.349, null, 0.527]",0.1956,0.46166666666666667,match_tensors_permute,runs_exp2d/seed0/population,True,21,69.8
366f9057,5ffed8da,3_5_9,6_8_9,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5723333358764648,0.7800000309944153,0.4382,0.6819999999999999,0.593,0.771,"[null, null, null, 0.671, null, 0.445, 0.914, null, 0.736, 0.663]",0.1818,0.504,match_tensors_permute,runs_exp2d/seed0/population,True,21,69.9
366f9057,88ed44d1,3_5_9,3_6_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5723333358764648,0.42500004172325134,0.372,0.4131666666666667,0.4043333333333333,0.422,"[null, null, null, 0.182, null, 0.414, 0.964, 0.12, null, 0.617]",0.2442,0.531,match_tensors_permute,runs_exp2d/seed0/population,True,21,69.9
366f9057,905afff7,3_5_9,3_5_6,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5723333358764648,0.36399999260902405,0.44475,0.309,0.24833333333333332,0.36966666666666664,"[null, null, null, 0.11, null, 0.023, 0.976, null, null, 0.612]",0.41525,0.5195,match_tensors_permute,runs_exp2d/seed0/population,True,21,69.4
