parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,merging_fn,population,bn_reset,time_s
88ed44d1,cb3a86af,3_6_7,1_6_7,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.42500004172325134,0.5966666340827942,0.4285,0.526,0.473,0.579,"[null, 0.497, null, 0.179, null, null, 0.962, 0.278, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.4
88ed44d1,d8bd0bc0,3_6_7,4_5_7,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.42500004172325134,0.4826667010784149,0.28,0.4428333333333333,0.41133333333333333,0.47433333333333333,"[null, null, null, 0.103, 0.649, 0.62, 0.977, 0.154, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.7
88ed44d1,e1762771,3_6_7,1_2_4,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.42500004172325134,0.5213333964347839,0.2838333333333333,0.4686666666666667,0.4206666666666667,0.5166666666666667,"[null, 0.49, 0.149, 0.152, 0.911, null, 0.967, 0.143, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.9
905afff7,be2e50e9,3_5_6,3_6_7,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.36399999260902405,0.5016667246818542,0.34,0.44033333333333335,0.3883333333333333,0.49233333333333335,"[null, null, null, 0.224, null, 0.021, 0.92, 0.333, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.4
905afff7,cb3a86af,3_5_6,1_6_7,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.36399999260902405,0.5966666340827942,0.3378,0.4703333333333333,0.3606666666666667,0.58,"[null, 0.509, null, 0.095, null, 0.022, 0.965, 0.266, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.6
905afff7,d8bd0bc0,3_5_6,4_5_7,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.36399999260902405,0.4826667010784149,0.2832,0.5146666666666666,0.5536666666666666,0.4756666666666667,"[null, null, null, 0.055, 0.665, 0.617, 0.989, 0.145, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.6
905afff7,e1762771,3_5_6,1_2_4,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.36399999260902405,0.5213333964347839,0.2861666666666667,0.43833333333333335,0.362,0.5146666666666667,"[null, 0.491, 0.138, 0.09, 0.915, 0.014, 0.982, null, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,44.0
be2e50e9,cb3a86af,3_6_7,1_6_7,"[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5016667246818542,0.5966666340827942,0.4215,0.5353333333333333,0.488,0.5826666666666667,"[null, 0.509, null, 0.225, null, null, 0.957, 0.282, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.5
be2e50e9,d8bd0bc0,3_6_7,4_5_7,"[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5016667246818542,0.4826667010784149,0.3252,0.44733333333333336,0.4226666666666667,0.472,"[null, null, null, 0.164, 0.61, 0.645, 0.943, 0.161, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.8
be2e50e9,e1762771,3_6_7,1_2_4,"[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5016667246818542,0.5213333964347839,0.31,0.5058333333333334,0.49166666666666664,0.52,"[null, 0.509, 0.146, 0.219, 0.905, null, 0.918, 0.338, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,44.0
cb3a86af,d8bd0bc0,1_6_7,4_5_7,"[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5966666340827942,0.4826667010784149,0.3388,0.5121666666666667,0.5476666666666666,0.4766666666666667,"[null, 0.509, null, null, 0.656, 0.616, 0.976, 0.158, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.7
cb3a86af,e1762771,1_6_7,1_2_4,"[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5966666340827942,0.5213333964347839,0.3654,0.5553333333333332,0.586,0.5246666666666666,"[null, 0.52, 0.142, null, 0.912, null, 0.966, 0.272, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.7
d8bd0bc0,e1762771,4_5_7,1_2_4,"[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4826667010784149,0.5213333964347839,0.321,0.5371666666666666,0.573,0.5013333333333333,"[null, 0.462, 0.115, null, 0.927, 0.647, null, 0.145, null, null]",match_tensors_permute,runs_exp2d/seed0/population,False,43.6
