parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,merging_fn,population,bn_reset,stop_node,time_s
366f9057,be2e50e9,3_5_9,3_6_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5723333358764648,0.5016667246818542,0.3654,0.41233333333333333,0.2906666666666667,0.534,"[null, null, null, 0.229, null, 0.119, 0.882, 0.491, null, 0.524]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.0
366f9057,cb3a86af,3_5_9,1_6_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5723333358764648,0.5966666340827942,0.31916666666666665,0.5688333333333333,0.558,0.5796666666666667,"[null, 0.425, null, 0.575, null, 0.516, 0.936, 0.378, null, 0.583]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.3
366f9057,d8bd0bc0,3_5_9,4_5_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5723333358764648,0.4826667010784149,0.307,0.5805,0.705,0.456,"[null, null, null, 0.805, 0.406, 0.796, null, 0.166, null, 0.514]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.1
366f9057,e1762771,3_5_9,1_2_4,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5723333358764648,0.5213333964347839,0.27366666666666667,0.5053333333333333,0.5636666666666666,0.447,"[null, 0.308, 0.336, 0.744, 0.697, 0.315, null, null, null, 0.632]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.3
5ffed8da,88ed44d1,6_8_9,3_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.7800000309944153,0.42500004172325134,0.445,0.6016666666666667,0.8006666666666666,0.4026666666666667,"[null, null, null, 0.113, null, null, 0.973, 0.122, 0.682, 0.747]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.0
5ffed8da,905afff7,6_8_9,3_5_6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.7800000309944153,0.36399999260902405,0.4566,0.5948333333333333,0.8116666666666666,0.378,"[null, null, null, 0.149, null, 0.007, 0.978, null, 0.728, 0.729]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.1
5ffed8da,be2e50e9,6_8_9,3_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.7800000309944153,0.5016667246818542,0.4462,0.6546666666666667,0.7603333333333333,0.549,"[null, null, null, 0.294, null, null, 0.867, 0.486, 0.66, 0.754]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.1
5ffed8da,cb3a86af,6_8_9,1_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.7800000309944153,0.5966666340827942,0.4548,0.688,0.7786666666666666,0.5973333333333334,"[null, 0.423, null, null, null, null, 0.927, 0.442, 0.693, 0.716]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.2
5ffed8da,d8bd0bc0,6_8_9,4_5_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.7800000309944153,0.4826667010784149,0.38483333333333336,0.6058333333333333,0.7583333333333333,0.4533333333333333,"[null, null, null, null, 0.368, 0.763, 0.869, 0.229, 0.62, 0.786]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.4
5ffed8da,e1762771,6_8_9,1_2_4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7800000309944153,0.5213333964347839,0.366,0.5981666666666666,0.7523333333333333,0.444,"[null, 0.293, 0.12, null, 0.919, null, 0.828, null, 0.647, 0.782]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.4
