parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,merging_fn,time_s
5ffed8da,be2e50e9,6_8_9,3_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9480000734329224, 0.0, 0.9830000400543213, 0.9320000410079956]","[0.0, 0.0, 0.0, 0.8470000624656677, 0.0, 0.0, 0.9450000524520874, 0.9480000734329224, 0.0, 0.0]",0.9543333649635315,0.9133334159851074,0.6174,0.8083333333333333,0.8153333333333334,0.8013333333333333,"[null, null, null, 0.698, null, null, 0.819, 0.887, 0.835, 0.792]",match_tensors_permute,68.1
5ffed8da,cb3a86af,6_8_9,1_6_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9480000734329224, 0.0, 0.9830000400543213, 0.9320000410079956]","[0.0, 0.9780000448226929, 0.0, 0.0, 0.0, 0.0, 0.9670000672340393, 0.9530000686645508, 0.0, 0.0]",0.9543333649635315,0.9660000801086426,0.5412,0.835,0.8303333333333334,0.8396666666666667,"[null, 0.935, null, null, null, null, 0.768, 0.816, 0.843, 0.88]",match_tensors_permute,67.9
5ffed8da,d8bd0bc0,6_8_9,4_5_7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9480000734329224, 0.0, 0.9830000400543213, 0.9320000410079956]","[0.0, 0.0, 0.0, 0.0, 0.89000004529953, 0.9160000681877136, 0.0, 0.9540000557899475, 0.0, 0.0]",0.9543333649635315,0.9200000762939453,0.568,0.8421666666666667,0.8646666666666667,0.8196666666666667,"[null, null, null, null, 0.727, 0.854, 0.847, 0.878, 0.891, 0.856]",match_tensors_permute,68.5
5ffed8da,e1762771,6_8_9,1_2_4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9480000734329224, 0.0, 0.9830000400543213, 0.9320000410079956]","[0.0, 0.9920000433921814, 0.8520000576972961, 0.0, 0.9460000395774841, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9543333649635315,0.9300000667572021,0.47783333333333333,0.7883333333333333,0.779,0.7976666666666666,"[null, 0.93, 0.646, null, 0.817, null, 0.65, null, 0.841, 0.846]",match_tensors_permute,68.4
88ed44d1,905afff7,3_6_7,3_5_6,"[0.0, 0.0, 0.0, 0.7760000228881836, 0.0, 0.0, 0.9600000381469727, 0.9510000348091125, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.812000036239624, 0.0, 0.843000054359436, 0.9480000734329224, 0.0, 0.0, 0.0]",0.8956666588783264,0.8676667213439941,0.62175,0.7168333333333333,0.761,0.6726666666666666,"[null, null, null, 0.529, null, 0.649, 0.84, 0.914, null, null]",match_tensors_permute,67.8
88ed44d1,be2e50e9,3_6_7,3_6_7,"[0.0, 0.0, 0.0, 0.7760000228881836, 0.0, 0.0, 0.9600000381469727, 0.9510000348091125, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.8470000624656677, 0.0, 0.0, 0.9450000524520874, 0.9480000734329224, 0.0, 0.0]",0.8956666588783264,0.9133334159851074,0.838,0.7986666666666666,0.7986666666666666,0.7986666666666666,"[null, null, null, 0.681, null, null, 0.848, 0.867, null, null]",match_tensors_permute,67.6
88ed44d1,cb3a86af,3_6_7,1_6_7,"[0.0, 0.0, 0.0, 0.7760000228881836, 0.0, 0.0, 0.9600000381469727, 0.9510000348091125, 0.0, 0.0]","[0.0, 0.9780000448226929, 0.0, 0.0, 0.0, 0.0, 0.9670000672340393, 0.9530000686645508, 0.0, 0.0]",0.8956666588783264,0.9660000801086426,0.696,0.7275,0.6603333333333333,0.7946666666666666,"[null, 0.917, null, 0.514, null, null, 0.615, 0.852, null, null]",match_tensors_permute,70.6
88ed44d1,d8bd0bc0,3_6_7,4_5_7,"[0.0, 0.0, 0.0, 0.7760000228881836, 0.0, 0.0, 0.9600000381469727, 0.9510000348091125, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.89000004529953, 0.9160000681877136, 0.0, 0.9540000557899475, 0.0, 0.0]",0.8956666588783264,0.9200000762939453,0.5064,0.7078333333333333,0.6926666666666667,0.723,"[null, null, null, 0.465, 0.566, 0.735, 0.745, 0.868, null, null]",match_tensors_permute,68.1
88ed44d1,e1762771,3_6_7,1_2_4,"[0.0, 0.0, 0.0, 0.7760000228881836, 0.0, 0.0, 0.9600000381469727, 0.9510000348091125, 0.0, 0.0]","[0.0, 0.9920000433921814, 0.8520000576972961, 0.0, 0.9460000395774841, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8956666588783264,0.9300000667572021,0.5005,0.7493333333333334,0.7646666666666667,0.734,"[null, 0.829, 0.708, 0.601, 0.665, null, 0.816, 0.877, null, null]",match_tensors_permute,68.3
905afff7,be2e50e9,3_5_6,3_6_7,"[0.0, 0.0, 0.0, 0.812000036239624, 0.0, 0.843000054359436, 0.9480000734329224, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.8470000624656677, 0.0, 0.0, 0.9450000524520874, 0.9480000734329224, 0.0, 0.0]",0.8676667213439941,0.9133334159851074,0.58625,0.7290000000000001,0.6903333333333334,0.7676666666666667,"[null, null, null, 0.671, null, 0.592, 0.808, 0.824, null, null]",match_tensors_permute,67.6
905afff7,cb3a86af,3_5_6,1_6_7,"[0.0, 0.0, 0.0, 0.812000036239624, 0.0, 0.843000054359436, 0.9480000734329224, 0.0, 0.0, 0.0]","[0.0, 0.9780000448226929, 0.0, 0.0, 0.0, 0.0, 0.9670000672340393, 0.9530000686645508, 0.0, 0.0]",0.8676667213439941,0.9660000801086426,0.5228,0.7373333333333334,0.6393333333333333,0.8353333333333334,"[null, 0.941, null, 0.592, null, 0.498, 0.828, 0.737, null, null]",match_tensors_permute,68.0
905afff7,d8bd0bc0,3_5_6,4_5_7,"[0.0, 0.0, 0.0, 0.812000036239624, 0.0, 0.843000054359436, 0.9480000734329224, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.89000004529953, 0.9160000681877136, 0.0, 0.9540000557899475, 0.0, 0.0]",0.8676667213439941,0.9200000762939453,0.5234,0.7553333333333334,0.7243333333333334,0.7863333333333333,"[null, null, null, 0.602, 0.642, 0.822, 0.749, 0.895, null, null]",match_tensors_permute,68.6
905afff7,e1762771,3_5_6,1_2_4,"[0.0, 0.0, 0.0, 0.812000036239624, 0.0, 0.843000054359436, 0.9480000734329224, 0.0, 0.0, 0.0]","[0.0, 0.9920000433921814, 0.8520000576972961, 0.0, 0.9460000395774841, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8676667213439941,0.9300000667572021,0.43416666666666665,0.6676666666666666,0.5753333333333334,0.76,"[null, 0.911, 0.644, 0.613, 0.725, 0.538, 0.575, null, null, null]",match_tensors_permute,68.3
be2e50e9,cb3a86af,3_6_7,1_6_7,"[0.0, 0.0, 0.0, 0.8470000624656677, 0.0, 0.0, 0.9450000524520874, 0.9480000734329224, 0.0, 0.0]","[0.0, 0.9780000448226929, 0.0, 0.0, 0.0, 0.0, 0.9670000672340393, 0.9530000686645508, 0.0, 0.0]",0.9133334159851074,0.9660000801086426,0.733,0.8005,0.7476666666666667,0.8533333333333334,"[null, 0.934, null, 0.617, null, null, 0.807, 0.819, null, null]",match_tensors_permute,67.9
be2e50e9,d8bd0bc0,3_6_7,4_5_7,"[0.0, 0.0, 0.0, 0.8470000624656677, 0.0, 0.0, 0.9450000524520874, 0.9480000734329224, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.89000004529953, 0.9160000681877136, 0.0, 0.9540000557899475, 0.0, 0.0]",0.9133334159851074,0.9200000762939453,0.5434,0.7556666666666667,0.7373333333333333,0.774,"[null, null, null, 0.621, 0.669, 0.765, 0.703, 0.888, null, null]",match_tensors_permute,68.1
be2e50e9,e1762771,3_6_7,1_2_4,"[0.0, 0.0, 0.0, 0.8470000624656677, 0.0, 0.0, 0.9450000524520874, 0.9480000734329224, 0.0, 0.0]","[0.0, 0.9920000433921814, 0.8520000576972961, 0.0, 0.9460000395774841, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9133334159851074,0.9300000667572021,0.49483333333333335,0.764,0.7646666666666667,0.7633333333333333,"[null, 0.917, 0.65, 0.615, 0.723, null, 0.808, 0.871, null, null]",match_tensors_permute,67.9
cb3a86af,d8bd0bc0,1_6_7,4_5_7,"[0.0, 0.9780000448226929, 0.0, 0.0, 0.0, 0.0, 0.9670000672340393, 0.9530000686645508, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.89000004529953, 0.9160000681877136, 0.0, 0.9540000557899475, 0.0, 0.0]",0.9660000801086426,0.9200000762939453,0.6614,0.8431666666666666,0.8866666666666667,0.7996666666666666,"[null, 0.931, null, null, 0.69, 0.806, 0.826, 0.903, null, null]",match_tensors_permute,67.9
cb3a86af,e1762771,1_6_7,1_2_4,"[0.0, 0.9780000448226929, 0.0, 0.0, 0.0, 0.0, 0.9670000672340393, 0.9530000686645508, 0.0, 0.0]","[0.0, 0.9920000433921814, 0.8520000576972961, 0.0, 0.9460000395774841, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9660000801086426,0.9300000667572021,0.5204,0.7846666666666666,0.805,0.7643333333333333,"[null, 0.913, 0.607, null, 0.773, null, 0.72, 0.782, null, null]",match_tensors_permute,68.1
d8bd0bc0,e1762771,4_5_7,1_2_4,"[0.0, 0.0, 0.0, 0.0, 0.89000004529953, 0.9160000681877136, 0.0, 0.9540000557899475, 0.0, 0.0]","[0.0, 0.9920000433921814, 0.8520000576972961, 0.0, 0.9460000395774841, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9200000762939453,0.9300000667572021,0.535,0.7263333333333333,0.772,0.6806666666666666,"[null, 0.858, 0.466, null, 0.718, 0.761, null, 0.837, null, null]",match_tensors_permute,67.5
