steps,shared,B_digits,A_on_A,B_on_B,A_on_union,B_on_union,E_A,E_B,E_C,E_E,E_D_plus,E_D_minus,recipe,union_head_avg,Aside_head_avg,Bside_head_avg,union_head_label,Aside_head_label,Bside_head_label
3200,0,345,0.9930092096328735,0.9937586784362793,0.5181561708450317,0.47521141171455383,0.0156192471315393,0.06509774694648059,0.0934469557507271,0.4829567510890473,0.2126799762421947,0.13019932284001118,avg,0.7484662532806396,0.791229784488678,0.7018030881881714,0.8539214134216309,0.901493489742279,0.8020111322402954
3200,0,345,0.9930092096328735,0.9937586784362793,0.5181561708450317,0.47521141171455383,0.0156192471315393,0.06509774694648059,0.0934469557507271,0.4829567510890473,0.2126799762421947,0.13019932284001118,sum,0.7537721395492554,0.9231013655662537,0.5690013766288757,0.8051732778549194,0.8865586519241333,0.716366171836853
3200,0,345,0.9930092096328735,0.9937586784362793,0.5181561708450317,0.47521141171455383,0.0156192471315393,0.06509774694648059,0.0934469557507271,0.4829567510890473,0.2126799762421947,0.13019932284001118,sym_A1,0.7502901554107666,0.7931363582611084,0.7035367488861084,0.8557453155517578,0.901493489742279,0.8058252930641174
3200,0,345,0.9930092096328735,0.9937586784362793,0.5181561708450317,0.47521141171455383,0.0156192471315393,0.06509774694648059,0.0934469557507271,0.4829567510890473,0.2126799762421947,0.13019932284001118,sym_single1,0.7600729465484619,0.849380373954773,0.6626213788986206,0.8471232056617737,0.8541468381881714,0.8394591212272644
3200,0,345,0.9930092096328735,0.9937586784362793,0.5181561708450317,0.47521141171455383,0.0156192471315393,0.06509774694648059,0.0934469557507271,0.4829567510890473,0.2126799762421947,0.13019932284001118,sym_single1_Dp7,0.7680318355560303,0.8887829780578613,0.6362690925598145,0.836013913154602,0.8674928545951843,0.8016643524169922
3200,0,345,0.9930092096328735,0.9937586784362793,0.5181561708450317,0.47521141171455383,0.0156192471315393,0.06509774694648059,0.0934469557507271,0.4829567510890473,0.2126799762421947,0.13019932284001118,sym_Dp0,0.54982590675354,0.5328884720802307,0.5683079361915588,0.8050074577331543,0.858913242816925,0.7461858987808228
3200,1,234,0.9930092096328735,0.9963623881340027,0.6080949902534485,0.5863008499145508,0.010714985861603247,0.045405155124213586,0.08444303169174609,0.5225014677585973,0.1971574882525764,0.13977787131126346,avg,0.6075112223625183,0.9332697987556458,0.40244707465171814,0.9106830358505249,0.9933270215988159,0.8515211343765259
3200,1,234,0.9930092096328735,0.9963623881340027,0.6080949902534485,0.5863008499145508,0.010714985861603247,0.045405155124213586,0.08444303169174609,0.5225014677585973,0.1971574882525764,0.13977787131126346,sum,0.607122004032135,0.9485224485397339,0.38591268658638,0.8593111634254456,0.9958691000938416,0.7632274627685547
3200,1,234,0.9930092096328735,0.9963623881340027,0.6080949902534485,0.5863008499145508,0.010714985861603247,0.045405155124213586,0.08444303169174609,0.5225014677585973,0.1971574882525764,0.13977787131126346,sym_A1,0.6104300618171692,0.9434382319450378,0.39682537317276,0.9112668037414551,0.9930092096328735,0.8525131940841675
3200,1,234,0.9930092096328735,0.9963623881340027,0.6080949902534485,0.5863008499145508,0.010714985861603247,0.045405155124213586,0.08444303169174609,0.5225014677585973,0.1971574882525764,0.13977787131126346,sym_single1,0.6604397892951965,0.9777566194534302,0.44609788060188293,0.9330609440803528,0.9939625263214111,0.8888888359069824
