parent_a,parent_b,layer,norm_ratio,w,A,B,C,E,D_plus,D_minus
09111d7d,1887bcd2,layer2.1.conv2.weight,0.6744464875721821,0.008072535150249346,0.0018216879306759324,0.037689416378697584,0.025563836254409323,0.5163413689007867,0.3053215690468525,0.11326212148857807
09111d7d,1887bcd2,layer2.2.conv1.weight,0.6665356907136747,0.006724805149805302,0.0022138480138224432,0.027607035332708484,0.013517973249801082,0.37514159855674134,0.5074008595740175,0.07411868527290934
09111d7d,1887bcd2,layer2.2.conv2.weight,0.6745901641343346,0.008726982255015295,0.0,0.010798820437897648,0.10112463320742336,0.5465029494691903,0.27783421549737497,0.06373938138811383
09111d7d,1887bcd2,layer3.0.conv1.weight,0.7212709694804139,0.0134205260028605,0.010136460394755187,0.06289871388730464,0.02921307937480703,0.2575152516147424,0.6035760469056246,0.03666044782276604
09111d7d,1887bcd2,layer3.0.conv2.weight,0.697124936261347,0.04297967400147541,0.0,0.056903233932578366,0.06001663547157161,0.26812168381192214,0.5726600764550154,0.042298370328912545
09111d7d,1887bcd2,layer3.0.shortcut.0.weight,0.7085245798103914,0.027194649194729047,0.0205958502276296,0.04372628532376591,0.09539491387346682,0.5122639927403885,0.32276747932482447,0.005251478509924623
09111d7d,1887bcd2,layer3.1.conv1.weight,0.7115784972893711,0.032054708622712265,0.03025093349373702,0.05271956838081797,0.23743272392792616,0.21835716452193893,0.43339627395431857,0.02784333572126113
09111d7d,1887bcd2,layer3.1.conv2.weight,0.6943645737609847,0.060038266058113764,0.07041539548759684,0.14270667690160632,0.3438728560886823,0.0,0.39575446789731045,0.0472506036248041
09111d7d,1887bcd2,layer3.2.conv1.weight,0.7297979106949406,0.04080340555821298,0.02633836041033797,0.05203652809115123,0.1751876673454572,0.337561587908974,0.40887585624407957,0.0
09111d7d,1887bcd2,layer3.2.conv2.weight,0.7185717020071012,0.07342569886989934,0.0,0.04197914967656,0.12467003337073086,0.34004282470974473,0.4507014973744929,0.042606494868471546
09111d7d,366f9057,conv1.weight,0.7307853727590087,0.0018410738872480946,0.0,0.0,0.0,0.0,0.9501669513097013,0.049833048690298656
09111d7d,366f9057,layer1.0.conv1.weight,0.6815653708545039,0.005785361420014787,0.02050595651491679,0.051284958851715856,0.13959575922150497,0.2830227352707364,0.36605861324496186,0.139531976896164
09111d7d,366f9057,layer1.0.conv2.weight,0.6643770662198436,0.0054274097410018565,0.005103525612714168,0.03097276826569991,0.15849310951073436,0.3119934793614473,0.39578157060392366,0.09765554664548073
09111d7d,366f9057,layer1.1.conv1.weight,0.6161824323560474,0.00427177670836403,0.004467787548618814,0.027584738609274056,0.18359711173791166,0.23755089404439614,0.40058075561112655,0.14621871244867263
